Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Requires Shipping,Variant Taxable,Status
pets-spray-hair-comb,"Pets Spray Hair Comb Pet Hair Remover Cleaning Brush Cats Grooming Dog Accessories Tools Dematting Water Mist Humidifier Comb","<p><b>Competitor:</b> https://flurrbrush.com/products/pet-steam-brush</p><p><b>Supplier:</b> https://cjdropshipping.com/product/pets-spray-hair-comb-pet-hair-remover-cleaning-brush-cats-grooming-dog-accessories-tools-dematting-water-mist-humidifier-comb-pet-supplies-p-2505120724181601200.html</p>",My Store,Pet Supplies,"Cat Section",TRUE,Title,Default Title,24.99,TRUE,TRUE,draft
pet-fine-tooth-comb,"Pet Comb, Fine-Tooth Comb, Cat and Dog Hair Removal Comb, Pet Cleaning and Grooming Special Comb","<p><b>Competitor:</b> https://www.amazon.com/Grooming-Undercoat-Dematting-Deshedding-Deshedder/dp/B0BZZC5PMF/</p><p><b>Supplier:</b> https://eprolo.com/app/AIProduct.html?id=3b64f1ac27f8f31bacd59f8168f657b2a43421d143fbac91cd0b0f3ebf41ea9ca4643cb21d147e0210db09974b0d3a57</p>",My Store,Pet Supplies,"Cat Section",TRUE,Title,Default Title,24.99,TRUE,TRUE,draft
stainless-steel-pet-water-dispenser,"Water Feeder Stainless Steel Pet Water Dispenser","<p><b>Competitor:</b> https://www.amazon.com/Cat-Water-Fountain-Stainless-Steel/dp/B0DSFNMG93/</p><p><b>Supplier:</b> https://www.cjdropshipping.com/product/water-feeder-stainless-steel-pet-water-dispenser-p-1719601757271105536.html</p>",My Store,Pet Supplies,"Cat Section",TRUE,Title,Default Title,24.99,TRUE,TRUE,draft
cordless-cat-window-perch,"Cordless Cat Window Perch, Cat Hammock for Wall with 4 Suction Cups, Solid Metal Frame and Reversible Cover, Foldable Cat Beds for Indoor Cats","<p><b>Competitor:</b> https://www.amazon.com/AMOSIJOY-Cordless-Hammock-Installation-Foldable/dp/B09WDDGP2V/</p><p><b>Supplier:</b> https://www.cjdropshipping.com/product/pet-supplies-cordless-window-perches-cat-hammock-indoor-foldable-seat-pet-convenient-cordless-hammock-p-1768144706443161600.html</p>",My Store,Pet Supplies,"Cat Section",TRUE,Title,Default Title,54.99,TRUE,TRUE,draft
popular-cat-bed-rabbit-fur,"Popular Cat Bed with Straight Strips of Rabbit Fur, Pet Bed with Glass Suction Cups, Cat Hammock, Foldable Hanging Bed Mat","<p><b>Competitor:</b> https://www.amazon.com/Zakkart-SnugCloud-Foldable-Window-Perch/dp/B0F9FB86V8/</p><p><b>Supplier:</b> https://www.aliexpress.us/item/3256811698267730.html</p>",My Store,Pet Supplies,"Cat Section",TRUE,Title,Default Title,39.90,TRUE,TRUE,draft
interactive-round-small-cat-tunnel,"Interactive Round Small Cat Tunnel Nest Felt Kittens Bed House Scratcher Cat Donut Sleeping Pet Toy for Cats","<p><b>Competitor:</b> https://www.amazon.com/Tunnel-Diameter-Playing-Center-Kitten/dp/B0GTM4WMLJ/</p><p><b>Supplier:</b> https://www.aliexpress.us/item/3256810016255820.html</p>",My Store,Pet Supplies,"Cat Section",TRUE,Title,Default Title,19.90,TRUE,TRUE,draft
pets-silicone-lick-mat,"Pets Silicone Lick Mat for Dogs Cats Slow Food Plate Suction Cups Bathing Distraction Pets Sucker Food Training Feeder Supplies","<p><b>Competitor:</b> https://www.amazon.com/LUKITO-Licking-Suction-Boredom-Grooming/dp/B09FPTDBRZ/</p><p><b>Supplier:</b> https://www.aliexpress.us/item/3256810047630409.html</p>",My Store,Pet Supplies,"Cat Section",TRUE,Title,Default Title,17.90,TRUE,TRUE,draft
cat-litter-mat-waterproof,"Cat Litter Mat Waterproof Double Layer Cat Litter Trapping Pet Litter Box Mat Clean Pad Products","<p><b>Competitor:</b> https://www.amazon.com/Pieviev-Trapping-Honeycomb-Waterproof-Scatter/dp/B07NJ5SR5G/</p><p><b>Supplier:</b> https://www.aliexpress.us/item/3256807036081047.html</p>",My Store,Pet Supplies,"Cat Section",TRUE,Title,Default Title,19.90,TRUE,TRUE,draft
upgraded-elevated-cat-bowls,"Upgraded Elevated Cat Bowls with Food Mat,15°Tilted Stand Anti Vomiting Raised Cat Dishes for Food and Water,2 Stainless Steel Bowls for Cats and Puppy","<p><b>Competitor:</b> https://www.amazon.com/Upgraded-Elevated-15%C2%B0Tilted-Vomiting-Stainless/dp/B0CD5Q5HTR/</p><p><b>Supplier:</b> https://www.aliexpress.us/item/3256810110421976.html</p>",My Store,Pet Supplies,"Cat Section",TRUE,Title,Default Title,24.90,TRUE,TRUE,draft
interactive-cat-toy-ball,"Interactive Cat Toy Ball - Automatic with 3 Tails, 2 Speeds Rechargeable for Indoor Cats","<p><b>Competitor:</b> https://www.amazon.com/BABORUI-Interactive-Cat-Toy-Ball/dp/B0FXQ89XDC/</p><p><b>Supplier:</b> https://www.aliexpress.us/item/3256812205957810.html</p>",My Store,Pet Supplies,"Cat Section",TRUE,Title,Default Title,24.99,TRUE,TRUE,draft
doel-65l-self-cleaning-litter-box,"DOEL 65L Self-Cleaning Cat Litter Box App Control, ONLY Supports 2.4G WiFi w/Litter Mat&Trash Bags, Fit for Tofu & Mixed Litter","<p><b>Competitor:</b> https://www.amazon.com/DOEL-Automatic-Cleaning-Protection-Prevention/dp/B0FKSFF858/</p><p><b>Supplier:</b> https://www.aliexpress.us/item/3256809092040697.html</p>",My Store,Pet Supplies,"Cat Section",TRUE,Title,Default Title,229.90,TRUE,TRUE,draft
self-cleaning-litter-box-open-top,"Self Cleaning Litter Box,Open Top Automatic Litter Box with App Control for Multiple Cats, Safety Sensors","<p><b>Competitor:</b> https://www.amazon.com/B0FMK94VY4/dp/B0FMK94VY4/</p><p><b>Supplier:</b> https://www.aliexpress.us/item/3256811746548065.html</p>",My Store,Pet Supplies,"Cat Section",TRUE,Title,Default Title,179.90,TRUE,TRUE,draft
breathable-pet-cat-carrier-backpack,"Breathable Pet Cat Carrier Backpack Foldable Pet Carrier Transport Travel Bag Expandable Large Capacity Creative for Cats Dogs","<p><b>Competitor:</b> https://www.amazon.com/Lekebobor-Backpack-Carrier-Expandable-Foldable/dp/B09YYKFLMQ/</p><p><b>Supplier:</b> https://www.aliexpress.us/item/3256806648361829.html</p>",My Store,Pet Supplies,"Cat Section",TRUE,Title,Default Title,79.90,TRUE,TRUE,draft
massage-pet-cat-brush-corner,"Massage Pet Cat Brush Corner Scrape Hair Removal Beauty Clean Corner Brush Removable Scratcher Comb for Kitten Cat","<p><b>Competitor:</b> https://www.amazon.com/SunGrow-Grooming-Massager-Mountable-Adhesives/dp/B07XBFNZCD/</p><p><b>Supplier:</b> https://www.aliexpress.us/item/3256807159124303.html</p>",My Store,Pet Supplies,"Cat Section",TRUE,Title,Default Title,16.90,TRUE,TRUE,draft